AA,AR,AN,AD,AC,AE,AQ,AG,AH,AI,AL,AK,AM,AF,AP,AS,AT,AW,AY,AV,RA,RR,RN,RD,RC,RE,RQ,RG,RH,RI,RL,RK,RM,RF,RP,RS,RT,RW,RY,RV,NA,NR,NN,ND,NC,NE,NQ,NG,NH,NI,NL,NK,NM,NF,NP,NS,NT,NW,NY,NV,DA,DR,DN,DD,DC,DE,DQ,DG,DH,DI,DL,DK,DM,DF,DP,DS,DT,DW,DY,DV,CA,CR,CN,CD,CC,CE,CQ,CG,CH,CI,CL,CK,CM,CF,CP,CS,CT,CW,CY,CV,EA,ER,EN,ED,EC,EE,EQ,EG,EH,EI,EL,EK,EM,EF,EP,ES,ET,EW,EY,EV,QA,QR,QN,QD,QC,QE,QQ,QG,QH,QI,QL,QK,QM,QF,QP,QS,QT,QW,QY,QV,GA,GR,GN,GD,GC,GE,GQ,GG,GH,GI,GL,GK,GM,GF,GP,GS,GT,GW,GY,GV,HA,HR,HN,HD,HC,HE,HQ,HG,HH,HI,HL,HK,HM,HF,HP,HS,HT,HW,HY,HV,IA,IR,IN,ID,IC,IE,IQ,IG,IH,II,IL,IK,IM,IF,IP,IS,IT,IW,IY,IV,LA,LR,LN,LD,LC,LE,LQ,LG,LH,LI,LL,LK,LM,LF,LP,LS,LT,LW,LY,LV,KA,KR,KN,KD,KC,KE,KQ,KG,KH,KI,KL,KK,KM,KF,KP,KS,KT,KW,KY,KV,MA,MR,MN,MD,MC,ME,MQ,MG,MH,MI,ML,MK,MM,MF,MP,MS,MT,MW,MY,MV,FA,FR,FN,FD,FC,FE,FQ,FG,FH,FI,FL,FK,FM,FF,FP,FS,FT,FW,FY,FV,PA,PR,PN,PD,PC,PE,PQ,PG,PH,PI,PL,PK,PM,PF,PP,PS,PT,PW,PY,PV,SA,SR,SN,SD,SC,SE,SQ,SG,SH,SI,SL,SK,SM,SF,SP,SS,ST,SW,SY,SV,TA,TR,TN,TD,TC,TE,TQ,TG,TH,TI,TL,TK,TM,TF,TP,TS,TT,TW,TY,TV,WA,WR,WN,WD,WC,WE,WQ,WG,WH,WI,WL,WK,WM,WF,WP,WS,WT,WW,WY,WV,YA,YR,YN,YD,YC,YE,YQ,YG,YH,YI,YL,YK,YM,YF,YP,YS,YT,YW,YY,YV,VA,VR,VN,VD,VC,VE,VQ,VG,VH,VI,VL,VK,VM,VF,VP,VS,VT,VW,VY,VV,target
29,69,47,26,1,25,12,145,6,33,16,6,3,113,22,774,55,48,27,13,42,37,17,68,0,50,22,138,6,9,24,3,4,2,23,36,55,5,9,17,1,16,3,6,0,111,34,8,1,5,4,2,0,1,6,25,110,1,38,21,6,61,13,4,1,19,7,40,2,3,14,2,1,3,12,42,120,2,18,2,849,0,0,2,0,0,0,0,0,0,0,0,0,0,1,148,2,0,1,1,119,9,9,6,0,12,318,53,1,4,83,43,3,2,13,9,64,6,7,8,16,13,6,15,0,14,6,111,59,4,10,0,3,109,57,9,15,0,375,6,112,84,95,55,0,152,101,233,14,19,71,16,11,15,46,103,152,11,176,48,1,8,4,1,0,3,4,8,2,0,4,2,0,98,4,8,9,1,5,0,7,11,1,2,0,8,14,21,1,4,8,2,0,2,7,39,6,2,47,7,82,21,28,16,0,19,15,91,42,5,16,4,2,117,9,38,47,6,13,16,4,3,5,5,0,4,7,19,1,1,42,2,2,4,1,2,12,3,9,1,2,2,4,2,0,3,1,15,1,1,0,0,0,2,2,3,11,3,1,1,5,7,5,4,0,4,6,16,0,0,5,1,0,333,2,8,11,3,5,1,14,34,15,22,0,5,64,68,3,2,63,6,1,4,16,21,21,5,23,10,129,133,43,38,1,62,39,186,14,54,173,26,19,33,143,739,97,13,154,87,25,26,22,76,0,97,165,176,4,43,17,4,2,156,22,81,22,4,34,8,6,7,3,7,0,4,4,27,1,1,1,1,1,0,1,35,15,1,1,0,8,13,59,4,0,150,3,107,0,0,4,1,1,418,3,36,146,2,6,3,13,13,14,13,1,27,6,52,4,1,32,6,1,4,7,27,14,0,15,11,1
22,72,47,34,0,24,8,138,4,23,15,9,2,114,20,762,73,56,23,11,35,34,28,64,0,38,27,127,3,7,20,7,5,8,22,34,75,5,15,23,3,9,12,2,0,122,36,9,0,3,6,1,1,4,4,37,113,1,40,21,10,64,12,3,0,27,11,34,4,5,17,2,1,6,24,39,136,2,14,2,838,1,0,0,0,0,1,2,0,0,0,0,0,1,0,159,2,0,0,1,113,15,9,12,0,13,303,50,1,1,84,26,1,2,7,24,70,2,10,9,15,17,10,12,0,32,10,92,49,2,7,0,1,137,54,16,13,0,364,10,119,91,88,52,3,138,90,220,13,21,61,11,13,22,52,88,146,6,167,62,1,6,5,0,0,6,4,8,1,1,2,1,0,95,3,4,4,0,5,0,10,11,5,7,0,4,7,18,0,0,2,2,1,1,2,24,4,1,48,3,83,24,11,30,0,14,20,82,47,3,14,0,1,106,14,35,50,3,12,9,7,7,5,2,0,4,3,18,1,3,28,1,0,1,5,3,12,1,2,2,6,1,9,4,0,3,0,8,0,1,0,0,1,0,1,3,4,0,0,2,1,13,5,6,0,3,3,23,0,2,4,0,1,360,6,20,4,1,12,4,12,29,18,15,0,8,64,78,2,4,58,6,0,7,18,33,27,4,23,12,133,125,51,48,2,48,49,211,15,32,187,25,11,38,150,714,111,15,137,89,14,22,23,90,0,106,190,190,1,40,14,9,1,157,18,95,16,6,24,15,2,6,5,10,0,3,1,17,0,0,0,2,1,0,0,43,13,0,2,1,3,13,70,4,0,134,5,94,1,0,6,1,0,403,4,30,145,2,9,0,30,17,11,18,0,25,9,44,4,2,33,2,2,6,14,28,13,1,17,13,1
25,64,50,22,1,18,14,134,3,17,18,8,2,111,24,778,84,48,27,15,48,36,23,71,0,38,28,141,3,5,23,9,2,7,19,38,71,7,15,21,4,10,13,1,0,94,31,14,1,13,7,0,1,0,7,44,102,0,38,22,6,70,9,8,0,27,13,44,1,5,14,4,0,6,16,36,131,4,21,6,842,0,0,4,0,2,0,1,0,0,0,1,0,0,0,157,0,0,0,2,119,11,13,15,0,16,281,52,1,2,84,28,0,3,9,15,73,5,3,11,20,13,12,17,0,22,5,87,57,3,9,1,1,116,54,10,7,1,373,7,110,85,85,59,1,142,84,240,9,18,85,14,7,16,49,90,122,3,186,53,1,9,2,1,0,6,2,7,0,0,1,2,1,113,3,7,5,0,8,1,5,11,2,5,0,7,15,21,1,2,8,1,1,1,6,20,6,4,34,0,83,32,16,19,0,20,15,77,60,8,26,6,1,108,8,43,44,8,14,10,9,3,11,5,0,3,4,19,0,4,27,1,0,6,2,3,15,1,1,4,1,0,8,1,0,3,1,10,0,0,0,0,0,0,2,3,2,0,0,2,6,18,4,5,0,4,3,26,1,1,5,4,3,333,4,9,12,2,5,2,15,28,13,24,0,9,64,67,4,3,70,7,1,6,23,21,28,9,11,12,124,153,48,51,6,62,44,180,13,38,171,20,10,55,150,720,90,15,124,95,21,21,16,79,0,103,188,164,10,27,16,4,2,160,20,100,19,2,24,17,5,6,7,11,0,4,5,23,1,1,2,1,0,0,1,28,16,0,1,2,6,16,54,7,0,124,9,99,1,0,1,2,0,402,6,19,147,2,9,1,13,19,16,16,1,37,9,52,3,3,31,5,1,4,12,28,19,3,11,9,1
25,68,52,23,2,31,12,139,4,23,22,8,6,114,29,766,57,57,29,15,44,27,15,79,0,44,14,134,1,10,21,10,7,4,25,49,46,2,15,22,5,8,10,3,0,96,34,17,1,19,0,2,0,0,11,34,101,0,32,30,10,64,9,8,0,19,12,37,7,7,12,1,5,8,11,37,122,0,16,5,843,0,2,0,0,0,0,3,0,0,0,0,0,0,0,157,0,0,1,0,124,16,7,15,0,10,287,55,0,3,89,23,0,2,11,14,81,3,7,3,13,10,7,15,0,30,5,94,62,2,5,2,2,115,59,13,10,0,361,9,123,87,97,53,0,157,73,250,14,25,77,12,6,15,70,96,138,11,181,45,3,9,1,3,0,11,6,9,0,0,2,2,0,104,2,7,2,1,3,0,8,13,6,4,0,4,20,26,2,2,7,1,2,0,6,32,4,2,51,3,75,27,17,22,0,19,19,83,43,4,16,5,1,108,10,31,48,6,11,19,4,5,14,1,0,4,6,21,0,2,29,0,0,2,2,8,8,2,4,2,4,1,10,2,0,2,2,9,1,1,1,1,1,0,0,0,6,1,0,4,6,11,7,1,0,8,4,18,1,1,2,2,0,326,7,17,12,0,3,1,12,34,17,21,1,18,72,79,3,5,61,1,3,6,19,31,28,9,21,6,132,135,40,37,2,58,56,212,17,44,162,27,9,40,156,715,86,18,136,92,23,18,25,67,1,87,169,168,5,44,6,5,2,172,16,74,19,4,25,15,7,8,3,8,0,3,2,23,0,0,2,3,1,0,1,39,16,3,0,2,5,13,51,4,0,126,11,95,1,0,7,3,0,407,4,28,148,0,7,1,16,15,13,24,0,23,10,58,3,1,43,6,1,4,8,26,13,2,8,15,1
23,55,40,28,1,31,15,135,7,16,19,9,2,125,24,789,72,53,27,16,36,24,18,72,0,40,30,119,6,4,25,7,4,7,22,32,51,3,13,15,4,12,12,1,0,89,33,11,2,11,0,3,0,2,5,29,102,1,27,24,10,54,9,5,0,24,10,28,2,2,21,5,5,4,17,24,133,3,22,8,859,2,0,1,0,0,0,2,0,1,0,0,0,0,0,136,1,0,0,2,135,12,11,6,0,12,278,47,1,5,83,38,1,1,5,15,90,3,5,12,12,7,4,11,0,27,6,112,59,2,9,1,0,97,63,15,15,1,403,8,123,79,68,47,1,135,96,261,22,21,95,12,7,17,59,103,158,13,163,35,1,11,8,0,0,15,4,10,1,1,4,1,0,103,3,3,9,0,4,0,7,14,4,4,0,5,14,19,0,2,8,0,2,0,1,22,4,2,30,6,84,23,24,24,1,22,17,92,50,3,15,8,2,121,14,45,54,4,15,17,4,7,11,7,0,1,8,18,1,3,44,2,0,2,4,3,11,1,1,3,4,0,8,4,0,1,1,8,1,1,1,0,1,1,1,2,6,2,0,3,3,11,2,9,0,7,2,26,2,1,3,0,2,336,2,11,3,1,6,2,17,22,12,12,0,12,68,93,3,1,59,5,2,5,26,33,34,4,22,13,113,146,44,40,0,62,43,201,12,39,201,27,10,33,155,720,111,13,130,88,27,22,18,87,1,111,205,180,4,28,19,5,3,137,23,101,22,6,28,7,6,7,7,10,0,4,6,17,0,0,1,2,2,1,1,39,11,1,2,0,4,9,48,4,0,134,6,84,3,1,1,0,1,431,8,43,128,1,9,3,15,11,20,14,0,28,10,52,2,2,27,6,1,6,10,23,19,5,11,10,1
31,50,45,22,2,22,20,141,6,29,22,13,6,115,26,783,67,49,24,11,40,28,26,52,0,33,33,137,4,12,26,2,3,5,24,41,47,7,17,31,1,7,8,5,0,122,41,12,1,15,4,0,2,0,6,46,109,2,31,20,5,66,12,5,0,21,6,49,1,3,10,1,2,4,12,32,116,2,16,4,859,0,0,3,0,0,0,2,0,0,0,0,0,0,0,136,1,0,2,2,121,21,7,8,0,9,306,54,0,2,88,32,1,3,10,12,66,4,7,5,16,9,11,22,0,23,5,95,58,3,6,1,1,133,57,12,19,1,371,4,122,97,94,54,0,153,86,271,16,23,66,17,7,14,52,98,138,16,164,47,4,10,5,0,0,10,3,9,0,2,2,1,1,100,1,4,6,0,5,0,5,13,8,7,0,5,21,14,0,0,7,3,0,1,9,37,7,1,33,3,80,25,18,27,0,21,15,74,45,5,13,5,2,121,14,37,46,3,6,15,6,3,8,7,0,6,2,25,0,0,38,2,0,1,2,6,15,0,4,3,6,2,10,1,0,2,0,4,0,1,0,3,2,2,0,2,3,1,0,3,8,5,3,5,0,5,2,16,4,0,5,0,1,363,10,9,6,1,10,2,17,26,24,13,0,17,71,83,8,2,53,5,1,6,26,28,34,2,18,5,119,134,46,39,3,58,38,196,12,37,188,26,9,35,157,703,101,17,138,92,16,27,20,67,0,95,176,193,4,36,12,7,1,145,19,85,11,6,33,9,7,11,2,10,0,1,2,21,0,2,0,1,1,1,0,31,17,1,1,6,4,17,72,2,0,130,8,79,0,0,4,3,0,401,5,30,135,1,7,0,17,17,13,18,0,23,12,60,4,2,28,6,2,5,9,16,18,1,11,12,1
20,54,42,21,3,21,16,136,2,30,22,7,1,111,18,772,65,52,30,16,29,28,22,56,0,50,27,124,2,6,24,5,4,6,19,32,52,6,14,23,1,7,8,2,0,99,40,12,4,7,4,3,1,3,7,39,114,1,46,21,6,55,9,5,0,28,10,31,5,4,13,6,0,9,15,46,135,1,19,1,831,1,0,1,0,0,0,3,0,0,0,0,0,1,0,167,1,0,0,0,117,10,9,19,0,8,286,48,2,3,75,25,1,2,7,16,77,3,5,5,10,8,9,19,0,28,13,92,56,7,12,4,3,110,48,15,15,5,380,11,113,70,98,56,1,127,88,244,11,26,71,8,10,19,56,95,138,18,195,46,3,8,1,2,0,4,5,8,4,0,3,1,1,103,2,7,7,0,3,0,10,13,3,7,0,2,16,19,3,1,9,2,1,2,2,30,11,2,42,0,82,29,27,22,0,22,14,83,49,5,16,2,0,97,13,35,49,6,14,22,8,5,4,6,0,5,4,20,1,2,28,4,1,0,5,4,5,0,2,2,2,1,6,3,0,1,0,13,0,0,1,0,0,0,3,2,5,1,0,3,6,8,3,2,0,11,4,28,0,2,3,2,1,315,5,7,4,2,10,2,16,33,21,22,0,8,50,73,4,6,68,2,0,4,22,37,23,3,22,6,127,128,44,42,0,55,53,194,12,37,182,22,13,42,161,710,114,10,136,114,29,20,26,81,0,94,193,185,4,36,20,3,1,174,16,89,23,5,26,6,7,11,4,12,0,2,5,26,0,1,1,3,0,0,1,36,10,0,0,1,4,16,69,0,0,125,8,110,0,1,4,1,2,413,8,31,165,1,9,0,18,24,14,20,1,28,13,41,3,1,31,6,1,4,12,26,18,4,14,16,1
18,65,47,21,1,14,18,122,3,17,19,10,2,102,12,794,64,42,30,14,35,37,25,53,0,29,31,151,7,5,21,4,6,8,14,40,63,7,14,24,0,21,15,1,0,127,42,8,0,6,5,3,0,1,5,29,104,2,45,22,4,57,8,4,0,18,14,36,4,3,8,1,0,1,14,34,110,6,23,4,857,0,0,0,0,1,0,1,0,0,1,0,0,0,2,143,0,0,1,0,109,9,6,2,0,7,323,48,1,5,82,42,2,2,7,7,68,3,3,5,15,8,2,18,0,19,5,119,70,2,4,3,0,139,67,21,15,3,360,9,100,86,106,57,0,147,102,259,15,14,82,12,8,24,50,95,142,8,190,63,2,4,4,1,0,7,5,15,1,2,3,1,0,102,5,3,5,0,5,0,6,10,11,5,0,6,7,23,3,2,6,3,0,1,6,16,12,0,40,4,69,33,22,16,0,27,11,87,39,3,13,4,2,124,12,32,44,8,15,23,6,6,10,6,0,6,4,22,0,1,41,2,2,0,1,3,9,2,3,4,6,3,8,3,0,4,0,8,0,1,1,1,0,1,1,1,1,1,0,2,3,11,10,4,0,5,5,20,2,0,5,0,0,350,3,13,6,1,8,1,6,25,15,14,1,9,80,76,2,7,50,6,2,0,21,23,14,7,29,8,115,127,50,46,3,47,48,198,8,45,182,22,11,26,150,746,95,17,157,92,24,30,15,69,0,86,160,172,2,41,19,3,2,164,9,82,19,2,30,15,7,10,1,9,0,3,5,21,0,1,3,3,1,1,0,34,11,0,3,0,9,13,68,2,0,146,13,109,2,2,7,2,1,396,7,37,149,2,11,2,24,19,13,18,1,23,6,65,6,4,32,6,3,5,9,32,13,2,11,13,1
25,46,56,28,5,20,14,124,7,34,13,4,6,105,31,775,71,63,23,14,36,29,26,52,0,40,22,105,3,7,31,5,1,7,20,47,66,6,9,20,1,10,13,2,0,112,40,19,0,13,2,3,3,0,10,40,108,1,44,21,8,45,12,1,0,19,10,28,7,3,12,4,0,4,16,33,131,1,22,6,858,1,0,2,0,0,1,2,0,1,0,0,0,1,0,140,2,0,1,0,103,12,12,12,0,10,296,55,1,5,72,34,3,4,9,17,74,3,3,8,19,11,10,21,0,26,6,76,62,7,3,3,0,110,64,13,9,0,386,8,124,82,96,60,0,136,83,257,13,16,86,14,8,18,52,96,130,15,181,42,3,8,7,5,0,10,3,8,0,1,3,0,0,100,2,11,5,0,3,1,5,10,7,4,0,4,18,14,1,0,9,0,0,2,7,29,7,5,39,3,72,26,24,14,1,19,10,77,42,3,15,3,4,118,15,38,48,9,18,13,3,8,6,3,0,5,5,23,0,0,37,3,1,0,0,5,14,1,6,0,6,1,9,5,0,1,0,16,1,1,0,1,0,0,0,2,5,2,0,1,4,13,6,3,0,7,4,19,0,0,9,2,0,326,1,13,15,2,11,3,11,30,10,13,1,13,69,95,4,3,55,13,3,4,19,29,20,6,22,4,138,147,44,37,2,55,51,199,18,34,165,22,16,49,142,699,102,17,139,80,14,21,29,73,0,99,183,201,7,33,19,1,2,165,18,82,20,2,27,10,7,11,4,8,0,9,1,29,0,1,0,3,2,0,1,42,12,1,1,3,9,13,57,3,0,123,10,112,0,0,4,0,0,422,8,33,148,1,10,2,18,8,14,16,0,25,8,50,4,2,34,5,2,3,9,12,19,0,10,5,1
24,71,53,22,0,23,13,128,9,22,18,8,3,112,21,776,72,51,24,18,51,29,27,65,0,40,19,114,3,6,25,4,4,6,26,36,56,5,15,32,1,15,7,2,0,110,47,8,0,5,9,3,1,3,7,43,113,0,37,32,8,74,6,3,0,23,10,24,3,7,11,2,4,8,11,36,115,2,17,4,849,3,0,2,0,0,0,0,0,1,1,0,1,0,0,146,1,0,0,1,108,11,7,9,0,8,292,55,0,4,75,31,2,0,7,25,69,1,3,6,16,8,7,15,0,22,6,118,66,3,6,2,1,116,71,14,7,0,356,4,118,84,93,47,3,125,109,250,25,29,67,16,8,10,54,88,140,14,187,47,2,7,5,3,0,8,6,8,1,1,4,0,1,106,4,10,7,1,5,1,6,7,8,6,0,4,13,29,3,1,4,4,2,3,11,27,9,2,45,2,76,24,25,25,0,23,13,73,45,1,15,3,1,104,13,35,60,8,13,18,5,4,6,6,0,6,4,18,1,0,30,3,1,1,3,8,12,2,3,11,3,3,9,1,0,3,1,19,0,1,0,0,1,0,1,4,3,0,0,4,6,9,7,1,0,5,4,17,1,3,6,2,0,328,7,9,7,1,7,5,16,25,22,26,0,10,76,83,4,5,55,1,2,6,20,25,36,1,22,7,125,131,51,33,2,64,31,184,11,49,190,28,13,45,154,705,87,16,154,88,23,17,23,69,0,89,174,197,3,40,10,7,2,178,19,85,25,3,22,9,8,9,3,11,0,2,3,17,0,1,1,3,3,0,2,35,13,1,0,1,1,14,69,5,0,121,7,114,0,2,4,2,1,394,4,32,151,2,5,1,22,18,15,17,0,27,10,58,5,5,44,5,2,5,7,22,12,3,14,9,1
19,74,54,22,2,21,10,130,3,26,26,9,0,100,21,777,66,55,28,15,48,16,13,71,0,30,30,114,4,8,17,4,0,2,26,42,59,5,6,24,1,16,12,0,0,113,46,13,6,7,6,4,1,1,8,39,88,0,24,25,2,48,8,4,0,21,16,37,1,3,17,5,2,9,16,31,138,5,16,7,860,1,0,1,0,1,0,1,0,0,1,0,0,1,0,136,2,0,0,3,104,11,9,6,0,10,313,44,1,3,72,32,2,0,7,15,71,0,7,7,16,15,9,19,0,25,5,99,72,2,9,2,1,121,74,11,11,1,399,11,127,67,70,42,2,126,95,254,15,18,77,17,11,16,49,109,144,13,173,52,1,10,5,0,0,10,4,6,2,1,6,2,0,111,1,9,2,0,6,0,9,12,6,10,0,8,10,28,1,1,5,3,0,1,12,32,4,3,33,5,79,22,15,21,0,21,14,70,40,6,13,7,5,105,20,33,58,7,15,22,4,8,11,4,1,3,5,18,0,3,34,0,0,3,3,8,12,1,1,2,2,2,9,0,0,3,1,7,0,1,0,0,0,1,0,2,5,0,0,1,3,9,3,3,0,6,3,23,1,3,6,0,0,321,5,13,12,1,5,1,14,33,27,15,0,8,84,79,1,9,53,3,2,2,20,24,28,5,23,11,124,132,49,48,2,54,50,182,18,46,176,19,5,45,146,732,124,16,148,83,21,18,22,87,0,89,196,196,6,34,14,2,3,148,17,98,35,2,30,7,4,4,3,9,0,7,3,28,0,1,1,2,0,0,2,38,13,1,1,1,2,5,67,9,0,133,4,89,1,2,9,3,1,427,6,25,138,1,7,3,18,16,18,15,0,25,13,59,4,9,31,7,1,4,8,25,15,2,10,11,1
18,63,53,17,0,22,11,131,5,20,11,8,5,110,22,791,72,45,29,15,48,32,21,61,0,41,29,135,6,8,33,8,4,3,28,27,61,2,9,27,1,15,10,4,0,120,39,10,1,6,6,1,1,0,5,27,104,0,41,31,7,46,13,4,0,27,9,34,8,2,12,2,3,6,14,31,124,3,15,3,849,2,1,1,0,1,0,1,0,0,0,0,0,1,0,147,0,0,0,2,118,13,6,8,0,6,321,51,3,7,88,33,2,1,6,9,61,5,6,2,9,9,3,17,0,27,8,93,69,2,11,1,2,133,68,11,11,1,352,8,120,95,92,63,0,135,91,252,13,20,67,16,10,15,53,108,124,14,166,49,4,15,5,1,0,11,6,8,0,0,2,0,0,101,5,5,11,0,8,0,9,16,1,6,0,10,9,18,3,0,7,2,0,3,10,19,9,1,44,5,73,27,20,32,0,18,10,94,35,8,18,4,2,118,9,38,61,5,12,19,4,7,8,4,0,1,7,14,0,1,38,0,0,0,3,7,7,0,3,1,3,2,9,6,0,4,1,8,1,0,1,0,0,0,0,1,7,1,0,2,4,10,6,3,0,4,7,15,1,1,5,0,1,359,1,20,7,1,5,1,12,34,14,15,0,16,72,76,6,5,52,2,4,6,24,31,24,5,39,9,118,145,50,30,4,48,38,192,17,43,192,18,7,44,155,738,89,12,139,97,18,18,21,65,0,88,159,191,6,44,12,6,3,155,21,80,27,5,23,17,1,9,7,7,0,3,3,15,1,2,1,2,0,2,2,29,13,0,3,1,7,12,66,4,0,143,10,86,2,1,7,0,0,392,7,27,134,1,9,6,25,13,16,15,1,21,5,79,5,2,40,2,2,2,13,30,13,0,11,11,1
20,66,40,24,4,18,11,130,3,30,8,10,1,121,19,765,65,53,40,16,45,30,26,71,0,28,30,131,3,3,24,9,5,8,16,45,58,6,18,24,2,9,10,2,0,107,30,12,3,7,2,2,0,3,7,39,116,0,34,24,3,64,12,4,0,26,16,30,1,3,17,2,4,3,16,33,125,4,17,4,842,1,0,1,0,1,0,2,0,0,0,0,0,0,0,151,2,0,0,4,124,15,19,7,0,13,294,47,0,3,78,43,0,3,6,11,71,0,6,7,16,8,5,8,0,29,7,117,60,2,5,4,2,119,58,12,21,1,364,10,114,88,84,45,0,123,88,217,15,20,79,12,6,23,46,116,143,11,178,49,2,5,6,5,0,7,3,7,1,1,4,0,1,103,1,4,8,0,6,0,8,8,8,7,0,4,14,13,1,4,2,0,1,3,7,24,5,1,48,2,63,24,23,24,0,21,17,89,52,4,20,4,2,115,6,32,48,7,15,13,10,8,14,5,0,7,3,16,1,1,36,0,1,1,1,4,7,0,5,3,3,1,12,0,0,2,2,12,0,0,1,1,0,1,0,1,2,0,0,0,4,11,3,4,0,8,5,24,0,1,3,1,1,344,5,17,9,0,5,2,10,33,7,19,0,5,66,66,2,1,61,7,0,2,22,27,32,2,24,4,127,139,44,60,0,64,53,206,10,31,177,16,7,33,151,709,97,15,133,81,23,36,31,71,0,105,178,163,7,42,20,6,3,152,22,80,24,4,23,15,5,8,2,7,0,9,7,19,0,4,0,0,2,1,0,31,12,1,1,1,10,10,51,7,0,146,6,100,0,1,13,3,0,406,3,30,144,2,12,2,13,16,12,13,0,24,18,56,5,2,29,3,2,6,4,22,16,3,17,11,1
20,75,58,28,1,18,13,112,8,31,13,8,3,96,29,753,71,65,25,6,42,36,18,68,0,37,26,139,4,4,23,4,2,3,32,44,54,9,10,13,3,18,5,3,0,120,35,19,2,11,5,4,1,1,7,29,91,0,50,27,7,61,7,0,0,23,8,23,9,6,13,9,6,6,16,38,128,4,22,7,849,1,0,0,0,1,1,0,0,0,0,2,0,0,0,147,1,0,1,4,99,14,7,10,0,14,304,52,3,7,76,36,0,1,5,13,90,0,6,7,19,3,8,13,0,34,14,111,56,3,10,3,1,121,55,8,9,1,387,9,116,82,90,63,2,135,95,234,20,34,74,6,11,18,43,101,133,10,178,46,1,9,9,3,0,14,5,13,0,0,7,2,0,101,2,6,7,0,3,0,12,6,10,9,0,6,16,26,3,0,11,1,0,5,12,30,8,0,40,3,74,22,20,25,1,18,18,93,50,7,14,5,2,108,9,39,55,4,11,10,2,4,7,4,0,8,6,18,1,1,38,2,1,1,3,8,9,0,2,1,7,3,9,2,0,3,4,6,0,1,1,0,0,1,3,4,1,1,0,2,3,8,7,2,0,5,3,19,2,1,4,0,0,318,5,15,8,1,7,3,8,38,10,15,0,15,61,89,0,4,61,2,1,1,21,32,31,7,18,3,121,124,48,54,3,56,37,197,18,44,175,22,11,36,139,708,106,19,149,89,20,29,31,68,0,77,202,177,4,37,16,8,4,166,19,92,21,3,20,7,4,15,8,8,0,6,3,24,0,2,0,0,0,1,1,38,15,0,3,1,8,10,67,4,0,122,7,100,0,1,5,1,4,424,5,26,151,3,6,3,18,10,12,14,0,32,7,39,2,4,39,1,1,3,11,25,12,2,9,13,1
19,75,52,28,3,19,13,135,4,28,15,4,7,117,10,777,67,45,25,18,45,36,22,71,0,46,40,125,4,9,30,5,5,5,31,35,43,5,11,26,3,19,13,5,1,116,44,11,1,7,4,0,2,1,9,29,124,0,41,23,4,55,11,3,1,26,15,35,1,6,13,3,1,7,15,37,139,4,23,3,845,2,0,2,0,1,1,3,0,1,0,1,0,1,0,151,2,0,0,1,122,13,12,14,0,14,298,38,1,3,81,38,3,2,6,12,89,2,5,6,15,10,4,19,0,28,6,130,64,4,3,1,4,120,58,13,8,0,382,8,129,84,110,55,3,120,87,214,13,14,87,11,9,19,51,106,145,10,171,42,3,7,8,1,0,7,2,12,0,0,3,0,1,94,3,7,4,0,3,1,9,12,5,6,0,7,10,19,4,2,3,1,2,1,7,23,3,2,46,9,73,30,25,25,0,17,19,92,34,7,15,5,2,118,11,45,54,5,11,16,4,3,9,2,0,4,5,17,0,0,41,1,1,2,1,5,6,5,3,0,3,1,20,3,0,3,1,12,0,1,1,1,0,1,0,3,3,0,0,4,5,11,7,6,0,5,3,17,1,1,3,1,1,347,2,10,10,0,9,1,18,33,17,13,0,13,75,84,3,4,40,2,3,1,19,31,25,5,20,3,119,140,44,39,2,56,44,205,17,40,215,23,10,37,138,691,94,15,132,89,17,24,22,83,1,107,200,169,3,39,19,3,4,149,17,91,16,5,19,15,7,7,3,10,0,5,2,21,0,2,0,2,0,0,2,23,17,2,2,5,3,10,51,3,0,134,5,97,2,0,3,2,0,416,15,30,137,1,7,1,18,22,18,14,0,31,7,44,4,3,28,5,2,2,14,31,17,4,7,8,1
